timestamp,memcached_cores_usage
1746539176,1
1746539178,1
1746539181,1
1746539183,1
1746539185,1
1746539187,1
1746539189,1
1746539191,1
1746539193,1
1746539195,1
1746539197,1
1746539199,1
1746539201,1
1746539203,1
1746539205,1
1746539207,1
1746539209,1
1746539212,2
1746539214,2
1746539216,1
1746539218,2
1746539220,2
1746539222,1
1746539224,1
1746539226,1
1746539228,1
1746539230,1
1746539232,1
1746539234,1
1746539237,1
1746539239,1
1746539241,1
1746539243,1
1746539245,1
1746539247,1
1746539249,1
1746539251,1
1746539253,1
1746539255,1
1746539257,1
1746539259,1
1746539261,1
1746539263,1
1746539265,1
1746539268,1
1746539270,1
1746539272,2
1746539274,2
1746539276,2
1746539278,2
1746539280,2
1746539282,1
1746539284,1
1746539286,1
1746539288,1
1746539290,2
1746539293,2
1746539295,2
1746539297,2
1746539299,2
1746539301,2
1746539303,1
1746539305,1
1746539307,1
1746539309,1
1746539311,1
1746539314,1
1746539316,1
1746539318,1
1746539320,1
1746539322,2
1746539324,2
1746539326,2
1746539328,2
1746539330,2
1746539332,2
1746539334,2
1746539336,2
1746539339,2
1746539341,2
1746539343,2
1746539345,2
1746539347,2
1746539349,2
1746539351,2
1746539353,1
1746539355,1
1746539357,1
1746539359,1
1746539362,1
1746539364,1
1746539366,1
1746539368,1
1746539370,1
1746539374,1
1746539376,1
1746539378,1
1746539380,1
1746539382,2
1746539384,2
1746539386,2
1746539389,2
1746539391,2
1746539393,1
1746539395,2
1746539397,2
1746539399,1
1746539401,2
1746539404,2
1746539406,2
1746539408,2
1746539410,2
1746539412,1
1746539414,1
1746539416,1
1746539418,1
1746539420,1
1746539422,1
1746539425,1
1746539427,1
1746539429,1
1746539431,1
1746539433,1
1746539435,1
1746539437,1
1746539439,1
1746539441,1
1746539443,1
1746539445,1
1746539447,1
1746539449,1
1746539451,2
1746539453,2
1746539455,2
1746539457,2
1746539459,2
1746539461,2
1746539463,1
1746539465,1
1746539467,1
1746539469,1
1746539472,1
1746539474,1
1746539476,1
1746539478,1
1746539480,1
1746539482,1
1746539484,1
1746539486,1
1746539488,1
1746539490,1
1746539492,2
1746539494,2
1746539496,2
1746539498,1
1746539500,2
1746539502,2
1746539504,2
1746539506,2
1746539508,2
1746539510,2
1746539512,2
1746539514,2
1746539516,2
1746539518,2
1746539520,2
1746539522,2
1746539524,1
1746539526,1
1746539528,1
1746539530,1
1746539532,1
1746539534,1
1746539536,1
1746539538,1
1746539540,1
1746539542,1
1746539544,1
1746539546,1
1746539548,1
1746539550,2
1746539552,2
1746539554,2
1746539556,2
1746539558,2
1746539560,2
1746539562,1
1746539564,1
1746539566,1
1746539568,1
1746539570,1
1746539572,1
1746539574,1
1746539576,1
1746539578,1
1746539581,1
1746539583,1
1746539585,1
1746539587,1
1746539589,1
1746539591,2
1746539593,2
1746539595,2
1746539597,2
1746539599,2
1746539601,2
1746539603,2
1746539605,2
1746539607,2
1746539609,2
1746539611,2
1746539613,1
1746539615,1
1746539617,1
1746539619,1
1746539621,2
1746539623,2
1746539625,2
1746539627,1
1746539629,2
1746539631,2
1746539633,1
1746539635,1
1746539637,1
1746539639,1
1746539641,1
1746539643,1
1746539645,1
1746539647,1
1746539649,1
1746539651,1
1746539653,1
1746539655,1
1746539657,1
1746539659,1
1746539661,2
1746539663,2
1746539665,2
1746539667,2
1746539669,2
1746539671,2
1746539673,1
1746539676,1
1746539678,1
1746539680,1
1746539682,1
1746539684,1
1746539686,1
1746539688,1
1746539690,1
1746539692,1
1746539694,1
1746539696,1
1746539698,1
1746539700,1
1746539702,1
1746539704,1
1746539706,1
1746539708,1
1746539710,1
1746539712,1
1746539714,1
1746539716,1
1746539718,1
1746539720,1
1746539722,2
1746539724,2
1746539726,2
1746539728,2
1746539730,2
1746539732,1
1746539734,1
1746539736,1
1746539738,1
1746539740,2
1746539743,2
1746539745,2
1746539747,2
1746539749,2
1746539751,2
1746539753,1
1746539755,1
1746539757,1
1746539759,1
1746539761,2
1746539763,2
1746539765,2
1746539767,2
1746539769,2
1746539771,2
1746539773,1
1746539775,1
1746539777,1
1746539779,1
1746539781,1
1746539783,1
1746539785,1
1746539787,1
1746539789,1
1746539792,2
1746539794,2
1746539796,2
1746539798,2
1746539800,2
1746539802,1
1746539805,2
1746539808,2
1746539810,1
1746539813,2
1746539815,2
1746539817,1
1746539819,2
1746539822,2
1746539824,1
1746539826,1
1746539828,1
1746539830,1
1746539832,2
1746539834,2
1746539836,2
1746539838,2
1746539840,2
1746539842,1
1746539844,1
1746539846,1
1746539848,1
1746539850,1
1746539852,1
1746539854,1
1746539856,1
1746539858,1
1746539860,1
1746539862,1
1746539864,1
1746539866,1
1746539868,1
1746539870,1
1746539872,1
1746539874,1
1746539876,1
